Tract Code,Total Housing Units,1-4 Family Units,Median House Age,Inside City?,Owner Occupied Units,Vacant Units,Owner Occupied 1-4 Fam Units,Renter Occupied,state,county
0227.00,2448,650,76,Yes,423,261,276,1764,36,061
0228.00,2747,836,76,Yes,446,288,270,2013,36,061
0229.00,3222,188,76,Yes,247,328,28,2647,36,061
0230.00,3903,343,73,Yes,68,350,36,3485,36,061
0231.00,2942,521,76,Yes,277,293,153,2372,36,061
0232.00,3331,199,53,Yes,135,141,33,3055,36,061
0233.00,2699,299,76,Yes,268,143,69,2288,36,061
0234.00,2390,0,76,Yes,169,172,0,2049,36,061
0235.01,2622,218,76,Yes,383,117,99,2122,36,061
0235.02,904,16,76,Yes,12,123,11,769,36,061
0236.00,3159,157,51,Yes,527,191,0,2441,36,061
0237.00,2795,80,76,Yes,178,180,46,2437,36,061
0238.01,4436,97,35,Yes,527,488,22,3421,36,061
0238.02,827,16,12,Yes,39,153,0,635,36,061
0239.00,1085,27,76,Yes,87,36,16,962,36,061
0240.00,0,0,0,Yes,0,0,0,0,36,061
0241.00,3496,129,76,Yes,549,349,13,2598,36,061
0242.00,1537,76,38,Yes,25,66,9,1446,36,061
0243.01,1525,150,76,Yes,71,151,40,1303,36,061
0243.02,2566,71,54,Yes,0,80,0,2486,36,061
0245.00,5064,99,76,Yes,124,239,0,4701,36,061
0247.00,2683,192,76,Yes,356,239,18,2088,36,061
0249.00,387,10,76,Yes,21,6,0,360,36,061
0251.00,853,102,76,Yes,24,129,24,700,36,061
0253.00,3938,74,76,Yes,45,98,15,3795,36,061
0255.00,2189,44,76,Yes,90,138,4,1961,36,061
0257.00,1964,281,36,Yes,550,244,186,1170,36,061
0259.00,1761,61,14,Yes,657,96,32,1008,36,061
0261.00,3833,152,76,Yes,41,147,0,3645,36,061
0263.00,2966,143,76,Yes,15,85,0,2866,36,061
0265.00,2997,94,76,Yes,363,222,0,2412,36,061
0267.00,639,27,76,Yes,4,68,4,567,36,061
0269.00,2807,220,76,Yes,160,239,71,2408,36,061
0271.00,3074,126,76,Yes,217,34,30,2823,36,061
0273.00,3356,51,76,Yes,740,137,16,2479,36,061
0275.00,1680,42,76,Yes,755,78,30,847,36,061
0277.00,2203,14,76,Yes,0,35,0,2168,36,061
0279.00,4211,101,76,Yes,270,287,19,3654,36,061
0281.00,1419,43,76,Yes,343,65,24,1011,36,061
0283.00,3262,110,72,Yes,567,122,30,2573,36,061
0285.00,2830,61,76,Yes,0,122,0,2708,36,061
0287.00,1751,35,76,Yes,57,147,0,1547,36,061
0291.00,4024,40,76,Yes,122,94,0,3808,36,061
0293.00,3067,99,76,Yes,18,168,0,2881,36,061
0295.00,3544,50,76,Yes,300,221,17,3023,36,061
0297.00,0,0,0,Yes,0,0,0,0,36,061
0299.00,1552,66,62,Yes,5,88,5,1459,36,061
0303.00,1869,58,76,Yes,137,62,0,1670,36,061
0307.00,1911,29,76,Yes,757,126,20,1028,36,061
0309.00,3582,406,64,Yes,274,115,173,3193,36,061
0311.00,0,0,0,Yes,0,0,0,0,36,061
0317.03,4474,12,17,Yes,205,517,12,3752,36,061
0317.04,3926,138,29,Yes,1235,666,17,2025,36,061
0319.00,0,0,0,Yes,0,0,0,0,36,061
0231.02,1583,1081,39,Yes,520,36,520,1027,06,075
0231.03,1129,485,51,Yes,62,90,62,977,06,075
0232.00,1344,1308,73,Yes,721,95,721,528,06,075
0233.00,1056,752,18,Yes,590,151,423,315,06,075
0234.00,1052,716,66,Yes,382,165,382,505,06,075
0251.00,1380,1282,63,Yes,982,40,982,358,06,075
0252.00,2310,2157,76,Yes,1351,155,1282,804,06,075
0253.00,1969,1437,76,Yes,673,183,632,1113,06,075
0254.01,1403,1227,76,Yes,566,159,566,678,06,075
0254.02,1162,1141,75,Yes,823,23,808,316,06,075
0254.03,1589,1268,71,Yes,782,56,736,751,06,075
0255.00,2749,2577,76,Yes,2005,15,1916,729,06,075
0256.00,1743,1726,69,Yes,1188,117,1188,438,06,075
0257.01,1451,1419,68,Yes,1002,41,992,408,06,075
0257.02,1274,1174,72,Yes,581,125,561,568,06,075
0258.00,656,517,68,Yes,344,24,336,288,06,075
0259.00,1487,1479,56,Yes,1046,9,1038,432,06,075
0260.01,1654,1560,76,Yes,809,148,796,697,06,075
0260.02,1032,1031,64,Yes,746,48,745,238,06,075
0260.03,1449,1442,72,Yes,892,51,885,506,06,075
0260.04,1271,1207,76,Yes,680,31,675,560,06,075
0261.00,2013,1864,74,Yes,1107,13,1089,893,06,075
0262.00,2077,1953,68,Yes,1339,97,1318,641,06,075
0263.01,1398,1315,76,Yes,778,21,778,599,06,075
0263.02,1536,1339,66,Yes,933,15,842,588,06,075
0263.03,1349,1192,57,Yes,735,105,706,509,06,075
0264.01,1084,1024,62,Yes,723,22,723,339,06,075
0264.02,1218,1218,58,Yes,816,28,816,374,06,075
0264.03,1169,1078,59,Yes,583,128,559,458,06,075
0264.04,717,670,55,Yes,350,32,342,335,06,075
0301.01,2179,1362,76,Yes,593,83,507,1503,06,075
0301.02,2353,1449,52,Yes,1046,160,1046,1147,06,075
0302.01,2000,1293,72,Yes,462,83,462,1455,06,075
0302.02,2154,1294,76,Yes,459,45,411,1650,06,075
0303.01,2570,2348,67,Yes,1355,194,1339,1021,06,075
0303.02,1462,1436,73,Yes,1133,14,1133,315,06,075
0304.00,2044,1936,76,Yes,1536,80,1536,428,06,075
0305.00,1058,925,58,Yes,740,50,740,268,06,075
0306.00,903,894,76,Yes,751,18,751,134,06,075
0307.00,2792,2792,63,Yes,2141,174,2141,477,06,075
0308.00,2402,2148,76,Yes,1727,250,1668,425,06,075
0309.00,2490,2448,76,Yes,2040,182,2040,268,06,075
0310.00,1358,1288,76,Yes,992,46,992,320,06,075
0311.00,2652,2340,71,Yes,1542,190,1498,920,06,075
0312.01,1973,1798,76,Yes,1137,82,1124,754,06,075
0312.02,914,891,74,Yes,587,29,587,298,06,075
0313.01,1377,1377,70,Yes,1040,65,1040,272,06,075
0313.02,1961,1688,65,Yes,1272,56,1130,633,06,075
0314.00,1975,1899,68,Yes,1172,153,1172,650,06,075
